Name,State,Constituency,Party,Gender,Education,Age,Participation in Debates,Private Member's Bills,Questions asked,Attendance,Notes
Santokh Singh Chaudhary,Punjab,Jalandhar,Indian National Congress,Male,Professional Graduate,77,19,2,45,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Santosh Kumar,Bihar,Purnia,Janata Dal (United),Male,Inter/ Higher Secondary,48,26,0,128,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Santosh Pandey,Chhattisgarh,Rajnandgaon,Bharatiya Janata Party,Male,Information Not Available,56,41,0,106,0.8,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Saptagiri Sankar Ulaka,Odisha,Koraput,Indian National Congress,Male,Professional Graduate,45,124,2,240,0.9,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sarmistha Sethi,Odisha,Jajpur,Biju Janata Dal,Female,Information Not Available,50,32,0,214,0.58,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Satabdi Roy,West Bengal,Birbhum,All India Trinamool Congress,Female,Graduate,54,24,0,1,0.77,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Satish Kumar,Uttar Pradesh,Aligarh,Bharatiya Janata Party,Male,Matric,51,8,0,0,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Satya Pal Singh,Uttar Pradesh,Baghpat,Bharatiya Janata Party,Male,Doctorate,68,50,2,18,0.97,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Satyadev Pachauri,Uttar Pradesh,Kanpur,Bharatiya Janata Party,Male,Information Not Available,76,24,0,172,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Saugata Roy,West Bengal,Dum Dum,All India Trinamool Congress,Male,Post Graduate,76,195,3,350,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Saumitra Khan,West Bengal,Bishnupur,Bharatiya Janata Party,Male,Matric,43,27,0,120,0.78,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Shafiqur Rahman Barq,Uttar Pradesh,Sambhal,Samajwadi Party,Male,Graduate,93,14,0,1,0.92,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Shankar Lalwani,Madhya Pradesh,Indore,Bharatiya Janata Party,Male,Information Not Available,62,41,0,213,0.96,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Shardaben Anilbhai Patel,Gujarat,Mahesana,Bharatiya Janata Party,Female,Under Graduate,75,31,0,215,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Shashi Tharoor,Kerala,Thiruvananthapuram,Indian National Congress,Male,Doctorate,67,101,13,275,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Shatrughan Sinha,West Bengal,Asansol,All India Trinamool Congress,Male,Graduate,77,0,0,0,0.63,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Shrikant Eknath Shinde,Maharashtra,Kalyan,Shiv Sena,Male,Professional Post Graduat,37,116,12,574,0.8,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Shrimant Chh. Udyanraje Pratapsin,Maharashtra,Satara,Bharatiya Janata Party,Male,Diploma Course,57,0,0,0,0.16,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Shriniwas Dadasaheb Patil,Maharashtra,Satara,Nationalist Congress Party,Male,Post Graduate,82,36,0,230,0.75,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Shrirang Appa Barne,Maharashtra,Maval,Shiv Sena,Male,Matric,59,167,13,635,0.94,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Shyam Singh Yadav,Uttar Pradesh,Jaunpur,Bahujan Samaj Party,Male,Post Graduate,69,53,5,196,0.97,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Simranjit Singh Mann,Punjab,Sangrur,Shiromani Akali Dal,Male,Graduate,78,10,0,0,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sisir Kumar Adhikari,West Bengal,Kanthi,All India Trinamool Congress,Male,Inter/ Higher Secondary,82,4,0,206,0.19,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sonia Gandhi,Uttar Pradesh,Rae Bareli,Indian National Congress,Female,Diploma Course,77,6,0,0,0.49,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Soyam Bapu Rao,Telangana,Adilabad,Bharatiya Janata Party,Male,Inter/ Higher Secondary,54,10,0,29,0.84,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sridhar Kotagiri,Andhra Pradesh,Eluru,Yuvajana Sramika Rythu Congress Party,Male,Graduate,50,25,0,312,0.76,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Su Thirunavukkarasar,Tamil Nadu,Tiruchirappalli,Indian National Congress,Male,Post Graduate,74,37,2,358,0.68,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Subhash Baheria,Rajasthan,Bhilwara,Bharatiya Janata Party,Male,Graduate,67,85,0,29,0.97,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Subhash Ramrao Bhamre,Maharashtra,Dhule,Bharatiya Janata Party,Male,Professional Post Graduat,70,19,0,605,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Subrata Pathak,Uttar Pradesh,Kannauj,Bharatiya Janata Party,Male,Graduate,44,14,2,255,0.79,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sudarshan Bhagat,Jharkhand,Lohardaga,Bharatiya Janata Party,Male,Graduate,54,31,0,107,0.94,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sudhakar Tukaram Shrangre,Maharashtra,Latur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,61,68,3,513,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sudhir Gupta,Madhya Pradesh,Mandsour,Bharatiya Janata Party,Male,Post Graduate,64,60,6,635,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sudip Bandyopadhyay,West Bengal,Kolkata Uttar,All India Trinamool Congress,Male,Graduate,75,44,0,0,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sujay Radhakrishna Vikhepatil,Maharashtra,Ahmednagar,Bharatiya Janata Party,Male,Professional Graduate,42,105,6,508,0.76,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sukanta Majumdar,West Bengal,Balurghat,Bharatiya Janata Party,Male,Doctorate,44,47,7,654,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sukhbir Singh Badal,Punjab,Ferozpur,Shiromani Akali Dal,Male,Information Not Available,61,7,0,34,0.2,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sukhbir Singh Jaunapuria,Rajasthan,Tonk-Sawai Madhopur,Bharatiya Janata Party,Male,Graduate,66,24,0,182,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sumalatha Ambareesh,Karnataka,Mandya,Independent,Female,Inter/ Higher Secondary,60,24,0,210,0.64,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sumathy Thamizhachi Thangapandian,Tamil Nadu,Chennai South,Dravida Munnetra Kazhagam,Female,Doctorate,61,63,8,292,0.79,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sumedhanand Saraswati,Rajasthan,Sikar,Bharatiya Janata Party,Male,Post Graduate,72,72,0,456,0.92,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sunil Baburao Mendhe,Maharashtra,Bhandara-Gondiya,Bharatiya Janata Party,Male,Information Not Available,55,25,0,249,0.9,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sunil Kumar,Bihar,Valmiki Nagar,Janata Dal (United),Male,Graduate,39,18,0,53,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sunil Kumar Mondal,West Bengal,Bardhaman Purba,All India Trinamool Congress,Male,Professional Graduate,65,20,0,195,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sunil Kumar Pintu,Bihar,Sitamarhi,Janata Dal (United),Male,Graduate,62,43,0,246,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sunil Kumar Singh,Jharkhand,Chatra,Bharatiya Janata Party,Male,Professional Post Graduat,62,67,13,425,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sunil Kumar Soni,Chhattisgarh,Raipur,Bharatiya Janata Party,Male,Information Not Available,62,29,0,158,0.96,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sunil Soren,Jharkhand,Dumka,Bharatiya Janata Party,Male,Information Not Available,51,10,0,0,0.92,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Sunita Duggal,Haryana,Sirsa,Bharatiya Janata Party,Female,Post Graduate,55,58,1,164,1,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Supriya Sule,Maharashtra,Baramati,Nationalist Congress Party,Female,Graduate,54,250,16,629,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Suresh Kodikunnil,Kerala,Mavelikkara (SC),Indian National Congress,Male,Professional Graduate,61,124,8,304,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Suresh Kumar Kashyap,Himachal Pradesh,Shimla,Bharatiya Janata Party,Male,Post Graduate,52,16,0,63,0.8,Data corresponds to the period from 01-06-2019 to 10-02-2024.
